username,status,ip,severity
admin,failed,192.168.1.10,HIGH
vpnuser,failed,91.240.118.172,HIGH
developer,failed,192.168.50.99,HIGH
root,failed,185.220.101.17,HIGH
root,failed,185.220.101.17,HIGH
root,failed,185.220.101.17,HIGH
vpnuser,failed,91.240.118.172,HIGH
guest,failed,198.51.100.23,HIGH
test,failed,45.33.32.156,HIGH
user2,failed,203.0.113.45,HIGH
user2,failed,203.0.113.45,HIGH
user1,failed,10.0.0.8,HIGH
admin,failed,192.168.1.12,HIGH
admin,failed,192.168.1.11,HIGH
user2,failed,203.0.113.45,HIGH
user1,success,10.0.0.5,LOW
service_account,success,172.16.0.20,LOW
developer,success,192.168.50.4,LOW
vpnuser,success,91.240.118.172,LOW
